name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
new york city,2024-12-11T00:00:00,49.7,47.4,46.9,89.86,0.02,100,rain,0,0,8.9,5.9,75,1013.2,100,2.8,0,0,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-12-11T01:00:00,49.5,47.2,47.2,91.86,0.003,100,rain,0,0,13.9,5.6,67,1012.2,100,0.6,0,0,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,F1417,KNYC,72503014732"
new york city,2024-12-11T02:00:00,51.1,51.1,48.5,91.03,0.098,100,rain,0,0,16.8,4.3,88,1012,100,2.2,0,0,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,F1417,KNYC,72503014732"
new york city,2024-12-11T03:00:00,51.5,51.5,50,94.63,0.028,100,rain,0,0,19.2,4.7,57,1011.4,100,1.2,0,0,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,F1417,KNYC,72503014732"
new york city,2024-12-11T04:00:00,53.5,53.5,51.4,92.31,0.015,100,rain,0,0,10.7,5.5,50,1010.7,100,2.3,0,0,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-12-11T05:00:00,54.9,54.9,52.5,91.61,0.009,100,rain,0,0,12.3,4.6,135,1009.6,100,5.3,0,0,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-12-11T06:00:00,56.2,56.2,53.2,89.79,0.017,100,rain,0,0,21.9,7.9,152,1008.9,100,7,0,0,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-12-11T07:00:00,57,57,54,89.64,0.019,100,rain,0,0,18.1,6.9,167,1008.1,100,5.5,0,0,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-12-11T08:00:00,58.8,58.8,56.4,91.87,0.044,100,rain,0,0,23.7,8.5,168,1007.3,100,4.5,5,0,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-12-11T09:00:00,58.3,58.3,56.7,94.14,0.002,100,rain,0,0,26.2,7,150,1006.7,100,2.5,40,0.1,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-12-11T10:00:00,59.4,59.4,56.3,89.6,0,0,,0,0,32.4,6.7,148,1005.2,99.2,5.7,62,0.2,1,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-12-11T11:00:00,59.6,59.6,56.2,88.62,0,0,,0,0,26.4,10.9,156,1003.9,100,8.6,40,0.1,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,F1417,KNYC,72503014732"
new york city,2024-12-11T12:00:00,59.4,59.4,56.3,89.6,0.003,100,rain,0,0,28.6,7.8,162,1002.3,100,6.5,62,0.2,1,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-12-11T13:00:00,60.1,60.1,56.7,88.56,0.167,100,rain,0,0,20.5,11.1,165,1000.5,100,1.8,34,0.1,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,F1417,KNYC,72503014732"
