"","datetime","temp","humidity","precip","snowdepth","windgust","conditions"
"1",2024-11-01,72.2,55.92,0,0,18.6,"Partially cloudy"
"2",2024-11-01 01:00:00,72,56.28,0,0,21.9,"Partially cloudy"
"3",2024-11-01 02:00:00,71.4,56.8,0,0,22.8,"Partially cloudy"
"4",2024-11-01 03:00:00,71.8,56.66,0,0,20.8,"Partially cloudy"
"5",2024-11-01 04:00:00,70.1,60.03,0,0,18.8,"Partially cloudy"
"6",2024-11-01 05:00:00,69.4,61.48,0,0,20.8,"Partially cloudy"
"7",2024-11-01 06:00:00,69.4,61.48,0,0,18.3,"Partially cloudy"
"8",2024-11-01 07:00:00,69.2,61.91,0,0,18.3,"Partially cloudy"
"9",2024-11-01 08:00:00,69.4,61.48,0,0,19.7,"Partially cloudy"
"10",2024-11-01 09:00:00,69.4,62.73,0,0,20.6,"Partially cloudy"
"11",2024-11-01 10:00:00,69.4,61.48,0,0,25.3,"Partially cloudy"
"12",2024-11-01 11:00:00,70.3,60.78,0,0,20.6,"Partially cloudy"
"13",2024-11-01 12:00:00,72.9,55.7,0,0,23.7,"Partially cloudy"
"14",2024-11-01 13:00:00,76.4,43.34,0,0,26.4,"Clear"
"15",2024-11-01 14:00:00,77.9,37.31,0,0,27.5,"Clear"
"16",2024-11-01 15:00:00,79.2,27.28,0,0,26.9,"Clear"
"17",2024-11-01 16:00:00,79,21.37,0,0,29.1,"Clear"
"18",2024-11-01 17:00:00,77.8,21.81,0,0,27.3,"Clear"
"19",2024-11-01 18:00:00,75.2,22.66,0,0,27.8,"Clear"
"20",2024-11-01 19:00:00,73.7,15.83,0,0,20.5,"Clear"
"21",2024-11-01 20:00:00,69.6,30.96,0,0,29,"Clear"
"22",2024-11-01 21:00:00,66.5,35.64,0,0,15.2,"Clear"
"23",2024-11-01 22:00:00,63.6,38.07,0,0,31,"Clear"
"24",2024-11-01 23:00:00,60.7,43.07,0,0,26,"Clear"
"25",2024-11-02,59.4,45.37,0,0,21.9,"Clear"
"26",2024-11-02 01:00:00,58.1,47.88,0,0,14.5,"Clear"
"27",2024-11-02 02:00:00,56.4,50.42,0,0,14.3,"Clear"
"28",2024-11-02 03:00:00,56.1,52.17,0,0,12.5,"Partially cloudy"
"29",2024-11-02 04:00:00,54.6,51.6,0,0,12.5,"Clear"
"30",2024-11-02 05:00:00,54.4,49.32,0,0,12.5,"Clear"
"31",2024-11-02 06:00:00,53.5,49.46,0,0,13,"Clear"
"32",2024-11-02 07:00:00,52.5,48.59,0,0,17.2,"Clear"
"33",2024-11-02 08:00:00,52.3,48.26,0,0,14.3,"Clear"
"34",2024-11-02 09:00:00,53.6,44.41,0,0,16.3,"Clear"
"35",2024-11-02 10:00:00,54,43.76,0,0,19.7,"Clear"
"36",2024-11-02 11:00:00,55.8,41.05,0,0,20.1,"Clear"
"37",2024-11-02 12:00:00,56.7,39.65,0,0,18.6,"Clear"
"38",2024-11-02 13:00:00,59.1,36.76,0,0,17.4,"Clear"
"39",2024-11-02 14:00:00,58.9,35.69,0,0,20.8,"Clear"
"40",2024-11-02 15:00:00,59.9,34.07,0,0,25.8,"Clear"
"41",2024-11-02 16:00:00,59.9,34.09,0,0,19.7,"Clear"
"42",2024-11-02 17:00:00,58.7,34.53,0,0,18.3,"Clear"
"43",2024-11-02 18:00:00,56.7,38.27,0,0,21.9,"Clear"
"44",2024-11-02 19:00:00,54.8,41.08,0,0,21.9,"Clear"
"45",2024-11-02 20:00:00,54.4,41.26,0,0,13.6,"Clear"
"46",2024-11-02 21:00:00,52.7,43.54,0,0,21.9,"Clear"
"47",2024-11-02 22:00:00,50.6,46.9,0,0,23,"Clear"
"48",2024-11-02 23:00:00,49.5,48.86,0,0,14.1,"Clear"
"49",2024-11-03,48.1,51.89,0,0,13.4,"Clear"
"50",2024-11-03 01:00:00,47.4,53.92,0,0,13.2,"Clear"
"51",2024-11-03 02:00:00,45.2,53.9,0,0,17.2,"Clear"
"52",2024-11-03 03:00:00,43.9,55.88,0,0,15,"Clear"
"53",2024-11-03 04:00:00,42.4,59.29,0,0,15.2,"Clear"
"54",2024-11-03 05:00:00,42,58.01,0,0,15.4,"Clear"
"55",2024-11-03 06:00:00,41,60.28,0,0,15.7,"Clear"
"56",2024-11-03 07:00:00,40.8,60.72,0,0,16.6,"Clear"
